Date,Open,High,Low,Close,Tick,Volume
2020.03.09 10:30,89576,89647,89404,89526,16665,42964
2020.03.09 10:35,89526,89717,89404,89404,12471,30158
2020.03.09 10:40,89404,89515,89404,89455,2806,10293
2020.03.09 10:45,89470,89606,89404,89404,3477,12907
2020.03.09 10:50,89404,89520,89404,89414,6097,22327
2020.03.09 10:55,89414,89924,89404,89526,31018,75983
2020.03.09 11:00,89536,89586,89404,89414,18536,37484
2020.03.09 11:05,89409,89763,89404,89672,28074,57806
2020.03.09 11:10,89672,89793,89445,89601,24771,45000
2020.03.09 11:15,89596,90041,89566,89763,37321,68727
2020.03.09 11:20,89758,90061,89748,89965,32642,63023
2020.03.09 11:25,89960,90258,89823,90242,33753,71323
2020.03.09 11:30,90242,90581,90197,90485,38091,85278
2020.03.09 11:35,90480,90505,90273,90439,32883,70198
2020.03.09 11:40,90434,90470,90015,90333,35299,75452
2020.03.09 11:45,90333,90712,90126,90626,45829,109677
2020.03.09 11:50,90631,90712,90258,90328,43946,97455
2020.03.09 11:55,90328,90475,89556,90046,36804,95744
2020.03.09 12:00,90046,90167,89692,89768,34351,83491
2020.03.09 12:05,89768,90419,89722,90192,36534,85981
2020.03.09 12:10,90192,90404,90030,90162,34183,75213
2020.03.09 12:15,90167,90308,89934,90106,27836,61293
2020.03.09 12:20,90106,90167,89849,90071,22421,51292
2020.03.09 12:25,90066,90444,90061,90414,27088,63272
2020.03.09 12:30,90414,90460,90177,90278,24467,54192
2020.03.09 12:35,90278,90444,90222,90369,26406,62383
2020.03.09 12:40,90374,90823,90359,90803,32537,74541
2020.03.09 12:45,90798,90964,90732,90823,34951,77965
2020.03.09 12:50,90818,91070,90616,90697,38564,88679
2020.03.09 12:55,90692,91121,90656,91020,36115,80197
2020.03.09 13:00,91020,91070,90641,90848,40642,91846
2020.03.09 13:05,90843,91283,90818,91091,35697,81401
2020.03.09 13:10,91096,91232,90884,90949,27591,61867
2020.03.09 13:15,90954,91065,90434,90586,41075,94809
2020.03.09 13:20,90586,90697,90444,90510,31713,68133
2020.03.09 13:25,90515,90525,89955,90126,40614,88060
2020.03.09 13:30,90121,90293,89899,90025,34890,69586
2020.03.09 13:35,90030,90152,89803,90025,35844,74456
2020.03.09 13:40,90030,90136,89616,89637,30867,63730
2020.03.09 13:45,89642,89869,89541,89798,28805,61358
2020.03.09 13:50,89793,89934,89647,89733,25711,52623
2020.03.09 13:55,89738,89813,89556,89672,20070,42453
2020.03.09 14:00,89677,89889,89632,89647,22572,47798
2020.03.09 14:05,89652,89743,89495,89571,20601,45626
2020.03.09 14:10,89566,89904,89536,89839,19641,41215
2020.03.09 14:15,89834,89899,89601,89702,21714,44138
2020.03.09 14:20,89692,89743,89470,89520,19603,44431
2020.03.09 14:25,89520,89581,89420,89455,13659,32497
2020.03.09 14:30,89455,89526,89404,89404,11586,39174
2020.03.09 14:35,89404,89505,89404,89414,9037,26261
2020.03.09 14:40,89414,89414,89404,89404,1807,7797
2020.03.09 14:45,89404,89404,89404,89404,616,1854
2020.03.09 14:50,89404,89404,89404,89404,304,1013
2020.03.09 14:55,89404,89404,89404,89404,374,939
2020.03.09 15:00,89404,89404,89404,89404,152,315
2020.03.09 15:05,89404,89404,89404,89404,119,233
2020.03.09 15:10,89404,89404,89404,89404,76,173
2020.03.09 15:15,89404,89404,89404,89404,141,567
2020.03.09 15:20,89404,89404,89404,89404,56,191
2020.03.09 15:25,89404,89404,89404,89404,76,154
2020.03.09 15:30,89404,89404,89404,89404,37,94
2020.03.09 15:35,89404,89404,89404,89404,40,179
2020.03.09 15:40,89404,89404,89404,89404,1,12
2020.03.09 15:50,87445,88066,86961,87738,38425,93307
2020.03.09 15:55,87743,88132,87572,87900,23544,52892
2020.03.09 16:00,87910,88349,87854,88294,24203,58082
2020.03.09 16:05,88294,88359,87233,87365,37736,83229
2020.03.09 16:10,87365,87481,86920,86920,21413,58989
2020.03.09 16:15,86920,87031,86920,86941,3515,16695
2020.03.09 16:20,86941,86941,86920,86920,1092,6368
2020.03.09 16:25,86920,87445,86920,87092,19759,58240
2020.03.09 16:30,87092,87127,86920,86920,10429,27100
2020.03.09 16:35,86920,86966,86920,86920,1861,9472
2020.03.09 16:40,86920,87031,86920,86951,5011,20690
2020.03.09 16:45,86946,87042,86920,86986,6257,29359
2020.03.09 16:50,86976,87067,86930,86956,8489,25004
2020.03.09 16:55,86951,86981,86920,86920,3680,15595
2020.03.09 17:00,86920,86920,86920,86920,140,2682
2020.03.09 17:05,86920,86920,86920,86920,188,8923
2020.03.09 17:10,86920,86920,86920,86920,66,1027
2020.03.09 17:15,86920,86920,86920,86920,39,262
2020.03.09 17:20,86920,86920,86920,86920,47,435
2020.03.09 17:25,86920,86920,86920,86920,55,205
2020.03.09 17:30,86920,86920,86920,86920,39,404
2020.03.09 17:35,86920,86920,86920,86920,22,44
2020.03.09 17:40,86920,86920,86920,86920,35,337
2020.03.09 17:45,86920,86920,86920,86920,50,1358
2020.03.09 17:50,86920,86920,86920,86920,160,9790
2020.03.10 09:05,91550,91888,90586,90646,62991,171289
2020.03.10 09:10,90646,90924,90444,90455,57460,143778
2020.03.10 09:15,90455,90813,90439,90783,34114,82539
2020.03.10 09:20,90783,90833,90046,90318,54728,137522
2020.03.10 09:25,90318,90384,89970,90192,47716,111455
2020.03.10 09:30,90192,90308,89990,90177,37969,85048
2020.03.10 09:35,90182,90253,89879,89919,34814,80341
2020.03.10 09:40,89914,89934,89581,89627,45523,110455
2020.03.10 09:45,89637,90101,89606,90076,38167,93220
2020.03.10 09:50,90081,90566,90015,90475,69204,160892
2020.03.10 09:55,90475,90550,90333,90480,31523,75544
2020.03.10 10:00,90480,90702,90248,90338,54013,128636
2020.03.10 10:05,90338,90788,90131,90631,61465,145596
2020.03.10 10:10,90636,90778,90424,90641,46331,106068
2020.03.10 10:15,90641,91151,90530,91005,68379,173793
2020.03.10 10:20,91010,91580,91005,91237,65657,181614
2020.03.10 10:25,91237,91267,90702,90934,55391,139108
2020.03.10 10:30,90939,91383,90909,91146,75658,192005
2020.03.10 10:35,91156,91267,90470,90656,68549,178574
2020.03.10 10:40,90651,90687,90066,90177,60834,161833
2020.03.10 10:45,90172,90263,89712,89945,56717,149779
2020.03.10 10:50,89940,90348,89808,90313,53020,126437
